phase_index,phase,liar_dir,liar_true,liar_reported,crash,liar_wasted,extra_honest_wait,conflicts_true,conflicts_reported,honest_waits_baseline,honest_waits_lie,extra_waits
0,N-S straight+right,N,straight,right,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""straight""]], [[""N"", ""right""], [""N"", ""straight""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""right""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,N,right,straight,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""right""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""straight""]], [[""N"", ""right""], [""N"", ""straight""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,N,left,straight,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""left""]], [[""N"", ""right""], [""N"", ""left""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""straight""]], [[""N"", ""right""], [""N"", ""straight""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""N-left"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,N,straight,left,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""straight""]], [[""N"", ""right""], [""N"", ""straight""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""left""]], [[""N"", ""right""], [""N"", ""left""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,N,left,right,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""left""]], [[""N"", ""right""], [""N"", ""left""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""right""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""N-left"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,N,right,left,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""right""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""N"", ""straight""], [""N"", ""left""]], [[""N"", ""right""], [""N"", ""left""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,E,straight,right,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""E-straight"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,E,right,straight,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""E-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,E,left,straight,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""E-left"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
0,N-S straight+right,E,straight,left,True,False,0.000000,"[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","[[[""N"", ""straight""], [""N"", ""right""]], [[""S"", ""straight""], [""S"", ""right""]]]","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0, ""E-straight"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}","{""N-straight"": 0.0, ""N-right"": 0.0, ""S-straight"": 0.0, ""S-right"": 0.0}"
